indice,arquivo,rotulo_atual,classe_sugerida,confianca_sugestao
11036,soybean_bacterial_blight\google_24.jpg,soybean_bacterial_blight,soybean_frog_eye_spot,0.835
2575,corn_bipolaris_spot\mbis525.jpg,corn_bipolaris_spot,corn_southern_rust,0.877
232,corn_bipolaris_spot\mbip183.jpg,corn_bipolaris_spot,corn_white_spot,0.879
2352,corn_bipolaris_spot\mbis201.jpg,corn_bipolaris_spot,corn_white_spot,0.902
2158,corn_bipolaris_spot\mbir924.jpg,corn_bipolaris_spot,corn_white_spot,0.852
9825,soybean_bacterial_blight\aug_flip_google_24.jpg,soybean_bacterial_blight,soybean_frog_eye_spot,0.866
557,corn_bipolaris_spot\mbip642.jpg,corn_bipolaris_spot,corn_white_spot,0.89
5671,corn_southern_rust\fpol698.jpg,corn_southern_rust,corn_bipolaris_spot,0.619
7293,corn_southern_rust\fpoo012.jpg,corn_southern_rust,corn_bipolaris_spot,0.893
7304,corn_southern_rust\fpoo030.jpg,corn_southern_rust,corn_bipolaris_spot,0.898
321,corn_bipolaris_spot\mbip310.jpg,corn_bipolaris_spot,corn_southern_rust,0.511
13064,soybean_healthy\healthy_663.jpg,soybean_healthy,soybean_frog_eye_spot,0.896
2719,corn_bipolaris_spot\mbis741.jpg,corn_bipolaris_spot,corn_white_spot,0.879
382,corn_bipolaris_spot\mbip390.jpg,corn_bipolaris_spot,corn_southern_rust,0.769
116,corn_bipolaris_spot\mbip015.jpg,corn_bipolaris_spot,corn_southern_rust,0.848
2720,corn_bipolaris_spot\mbis742.jpg,corn_bipolaris_spot,corn_white_spot,0.888
2687,corn_bipolaris_spot\mbis694.jpg,corn_bipolaris_spot,corn_southern_rust,0.843
2235,corn_bipolaris_spot\mbis042.jpg,corn_bipolaris_spot,corn_white_spot,0.819
2614,corn_bipolaris_spot\mbis581.jpg,corn_bipolaris_spot,corn_southern_rust,0.838
13166,soybean_healthy\healthy_802.jpg,soybean_healthy,soybean_frog_eye_spot,0.789
12935,soybean_healthy\healthy_513.jpg,soybean_healthy,soybean_frog_eye_spot,0.869
6388,corn_southern_rust\fpom748.jpg,corn_southern_rust,soybean_target_spot,0.876
2735,corn_bipolaris_spot\mbis769.jpg,corn_bipolaris_spot,corn_white_spot,0.834
399,corn_bipolaris_spot\mbip418.jpg,corn_bipolaris_spot,corn_white_spot,0.865
2670,corn_bipolaris_spot\mbis670.jpg,corn_bipolaris_spot,corn_southern_rust,0.864
7253,corn_southern_rust\fpon948.jpg,corn_southern_rust,corn_bipolaris_spot,0.883
6875,corn_southern_rust\fpon416.jpg,corn_southern_rust,corn_bipolaris_spot,0.479
2519,corn_bipolaris_spot\mbis441.jpg,corn_bipolaris_spot,corn_southern_rust,0.683
8503,soybean_asian_rust\soybean_rust_253.jpg,soybean_asian_rust,soybean_frog_eye_spot,0.83
982,corn_bipolaris_spot\mbiq269.jpg,corn_bipolaris_spot,corn_southern_rust,0.856
287,corn_bipolaris_spot\mbip259.jpg,corn_bipolaris_spot,corn_southern_rust,0.773
7545,corn_white_spot\mbra285.jpg,corn_white_spot,corn_southern_rust,0.788
11,corn_bipolaris_spot\DSC_0080.jpg,corn_bipolaris_spot,corn_white_spot,0.879
9433,soybean_bacterial_blight\aug_bright_google_24.jpg,soybean_bacterial_blight,soybean_frog_eye_spot,0.837
716,corn_bipolaris_spot\mbip878.jpg,corn_bipolaris_spot,corn_southern_rust,0.886
14507,soybean_target_spot\target_spot_604.jpg,soybean_target_spot,soybean_frog_eye_spot,0.859
7692,corn_white_spot\mbra496.jpg,corn_white_spot,corn_southern_rust,0.76
390,corn_bipolaris_spot\mbip402.jpg,corn_bipolaris_spot,corn_southern_rust,0.803
2608,corn_bipolaris_spot\mbis571.jpg,corn_bipolaris_spot,corn_southern_rust,0.512
10692,soybean_bacterial_blight\aug_zoom_google_94.jpg,soybean_bacterial_blight,soybean_frog_eye_spot,0.876
396,corn_bipolaris_spot\mbip414.jpg,corn_bipolaris_spot,corn_white_spot,0.851
5549,corn_southern_rust\fpol525.jpg,corn_southern_rust,corn_bipolaris_spot,0.88
8764,soybean_asian_rust\soybean_rust_592.jpg,soybean_asian_rust,soybean_bacterial_blight,0.869
1398,corn_bipolaris_spot\mbiq858.jpg,corn_bipolaris_spot,corn_southern_rust,0.878
200,corn_bipolaris_spot\mbip141.jpg,corn_bipolaris_spot,corn_southern_rust,0.518
11635,soybean_frog_eye_spot\frogeye_316.jpg,soybean_frog_eye_spot,soybean_asian_rust,0.824
2188,corn_bipolaris_spot\mbir975.jpg,corn_bipolaris_spot,corn_southern_rust,0.786
12610,soybean_healthy\healthy_1541.jpg,soybean_healthy,soybean_frog_eye_spot,0.856
5519,corn_southern_rust\fpol476.jpg,corn_southern_rust,corn_bipolaris_spot,0.608
5306,corn_southern_rust\fpol168.jpg,corn_southern_rust,corn_bipolaris_spot,0.876
442,corn_bipolaris_spot\mbip477.jpg,corn_bipolaris_spot,corn_southern_rust,0.546
5756,corn_southern_rust\fpol831.jpg,corn_southern_rust,corn_bipolaris_spot,0.874
34,corn_bipolaris_spot\DSC_0229.JPG,corn_bipolaris_spot,corn_white_spot,0.814
195,corn_bipolaris_spot\mbip131.jpg,corn_bipolaris_spot,corn_white_spot,0.861
5986,corn_southern_rust\fpom187.jpg,corn_southern_rust,soybean_target_spot,0.846
6207,corn_southern_rust\fpom505.jpg,corn_southern_rust,corn_white_spot,0.469
5853,corn_southern_rust\fpol978.jpg,corn_southern_rust,corn_bipolaris_spot,0.815
250,corn_bipolaris_spot\mbip206.jpg,corn_bipolaris_spot,corn_white_spot,0.801
9012,soybean_asian_rust\soybean_rust_909.jpg,soybean_asian_rust,soybean_bacterial_blight,0.871
303,corn_bipolaris_spot\mbip280.jpg,corn_bipolaris_spot,corn_white_spot,0.849
5649,corn_southern_rust\fpol668.jpg,corn_southern_rust,corn_bipolaris_spot,0.666
443,corn_bipolaris_spot\mbip478.jpg,corn_bipolaris_spot,corn_southern_rust,0.667
176,corn_bipolaris_spot\mbip103.jpg,corn_bipolaris_spot,corn_southern_rust,0.857
1612,corn_bipolaris_spot\mbir158.jpg,corn_bipolaris_spot,corn_white_spot,0.866
888,corn_bipolaris_spot\mbiq124.jpg,corn_bipolaris_spot,corn_southern_rust,0.864
5972,corn_southern_rust\fpom158.jpg,corn_southern_rust,corn_bipolaris_spot,0.869
9839,soybean_bacterial_blight\aug_flip_google_44.jpg,soybean_bacterial_blight,soybean_asian_rust,0.847
11197,soybean_frog_eye_spot\frogeye_1138.JPG,soybean_frog_eye_spot,soybean_target_spot,0.812
6957,corn_southern_rust\fpon539.jpg,corn_southern_rust,corn_bipolaris_spot,0.868
11087,soybean_bacterial_blight\google_94.jpg,soybean_bacterial_blight,soybean_frog_eye_spot,0.815
183,corn_bipolaris_spot\mbip110.jpg,corn_bipolaris_spot,corn_white_spot,0.835
1809,corn_bipolaris_spot\mbir432.jpg,corn_bipolaris_spot,corn_southern_rust,0.846
275,corn_bipolaris_spot\mbip240.jpg,corn_bipolaris_spot,corn_white_spot,0.849
12104,soybean_frog_eye_spot\frogeye_911.jpg,soybean_frog_eye_spot,soybean_healthy,0.86
192,corn_bipolaris_spot\mbip126.jpg,corn_bipolaris_spot,corn_southern_rust,0.789
218,corn_bipolaris_spot\mbip166.jpg,corn_bipolaris_spot,corn_southern_rust,0.72
6529,corn_southern_rust\fpom944.jpg,corn_southern_rust,corn_bipolaris_spot,0.672
6883,corn_southern_rust\fpon429.jpg,corn_southern_rust,corn_white_spot,0.493
1176,corn_bipolaris_spot\mbiq539.jpg,corn_bipolaris_spot,corn_southern_rust,0.862
625,corn_bipolaris_spot\mbip745.jpg,corn_bipolaris_spot,corn_southern_rust,0.792
581,corn_bipolaris_spot\mbip677.jpg,corn_bipolaris_spot,corn_white_spot,0.83
388,corn_bipolaris_spot\mbip400.jpg,corn_bipolaris_spot,corn_southern_rust,0.791
204,corn_bipolaris_spot\mbip145.jpg,corn_bipolaris_spot,corn_southern_rust,0.856
11323,soybean_frog_eye_spot\frogeye_1302.JPG,soybean_frog_eye_spot,soybean_asian_rust,0.824
2607,corn_bipolaris_spot\mbis570.jpg,corn_bipolaris_spot,corn_southern_rust,0.811
2410,corn_bipolaris_spot\mbis287.jpg,corn_bipolaris_spot,corn_southern_rust,0.845
1069,corn_bipolaris_spot\mbiq390.jpg,corn_bipolaris_spot,corn_southern_rust,0.804
1440,corn_bipolaris_spot\mbiq918.jpg,corn_bipolaris_spot,corn_southern_rust,0.829
7801,corn_white_spot\mbra653.jpg,corn_white_spot,corn_southern_rust,0.781
2698,corn_bipolaris_spot\mbis710.jpg,corn_bipolaris_spot,corn_southern_rust,0.597
13258,soybean_healthy\healthy_91.jpg,soybean_healthy,soybean_frog_eye_spot,0.792
6547,corn_southern_rust\fpom968.jpg,corn_southern_rust,soybean_target_spot,0.837
168,corn_bipolaris_spot\mbip090.jpg,corn_bipolaris_spot,corn_white_spot,0.851
1202,corn_bipolaris_spot\mbiq573.jpg,corn_bipolaris_spot,corn_southern_rust,0.846
1918,corn_bipolaris_spot\mbir586.jpg,corn_bipolaris_spot,corn_southern_rust,0.606
289,corn_bipolaris_spot\mbip261.jpg,corn_bipolaris_spot,corn_southern_rust,0.571
2695,corn_bipolaris_spot\mbis707.jpg,corn_bipolaris_spot,corn_southern_rust,0.7
8,corn_bipolaris_spot\DSC_0061.jpg,corn_bipolaris_spot,corn_white_spot,0.842
825,corn_bipolaris_spot\mbiq035.jpg,corn_bipolaris_spot,corn_southern_rust,0.638
1637,corn_bipolaris_spot\mbir194.jpg,corn_bipolaris_spot,corn_white_spot,0.85
7274,corn_southern_rust\fpon984.jpg,corn_southern_rust,corn_bipolaris_spot,0.698
123,corn_bipolaris_spot\mbip023.jpg,corn_bipolaris_spot,corn_white_spot,0.846
212,corn_bipolaris_spot\mbip157.jpg,corn_bipolaris_spot,corn_southern_rust,0.775
2705,corn_bipolaris_spot\mbis722.jpg,corn_bipolaris_spot,corn_southern_rust,0.814
651,corn_bipolaris_spot\mbip781.jpg,corn_bipolaris_spot,corn_southern_rust,0.764
638,corn_bipolaris_spot\mbip762.jpg,corn_bipolaris_spot,corn_southern_rust,0.698
286,corn_bipolaris_spot\mbip257.jpg,corn_bipolaris_spot,corn_southern_rust,0.79
2554,corn_bipolaris_spot\mbis491.jpg,corn_bipolaris_spot,corn_southern_rust,0.835
2586,corn_bipolaris_spot\mbis540.jpg,corn_bipolaris_spot,corn_southern_rust,0.756
439,corn_bipolaris_spot\mbip473.jpg,corn_bipolaris_spot,corn_southern_rust,0.817
1727,corn_bipolaris_spot\mbir321.jpg,corn_bipolaris_spot,corn_southern_rust,0.81
7223,corn_southern_rust\fpon906.jpg,corn_southern_rust,corn_bipolaris_spot,0.838
437,corn_bipolaris_spot\mbip471.jpg,corn_bipolaris_spot,corn_southern_rust,0.789
170,corn_bipolaris_spot\mbip092.jpg,corn_bipolaris_spot,corn_white_spot,0.841
2443,corn_bipolaris_spot\mbis325.jpg,corn_bipolaris_spot,corn_southern_rust,0.827
408,corn_bipolaris_spot\mbip434.jpg,corn_bipolaris_spot,corn_southern_rust,0.761
2672,corn_bipolaris_spot\mbis674.jpg,corn_bipolaris_spot,corn_southern_rust,0.833
7284,corn_southern_rust\fpon998.jpg,corn_southern_rust,corn_bipolaris_spot,0.736
